SerialNo,Sex,Age,StateOfOrigin,TotalScore,Dept
1409,1,20,18,188,14
1410,1,20,27,188,14
1411,1,23,18,188,14
1412,1,17,25,188,14
1413,2,18,22,188,14
1414,2,18,18,188,14
1415,1,21,37,187,14
1416,2,20,22,187,14
1417,1,24,14,186,14
1418,2,19,18,186,14
1419,1,17,23,186,14
1420,1,19,9,184,14
1421,1,18,11,184,14
1422,1,20,7,182,14
1423,1,22,25,182,14
1424,1,22,20,182,14
1425,1,28,7,182,14
1426,1,22,31,180,14
1427,2,19,31,180,14
1428,1,26,11,180,14
